Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"10276.30","Swinepox virus VTCC/AVA/121",,10276,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10275;10276","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Suipoxvirus;Swinepox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Suipoxvirus","Swinepox virus","Partial","VTCC/AVA/121",,,,,,,,,,,,,,,,,,,,,"2015-09-27T00:00:00Z",,,,,,,"KR028367",,,"Sanger dideoxy sequencing",,,,,1,1482,24.08907,1,1482,,,,1,,,,,,"scab material",,"2013-09-21",2013,,"India","Asia","India: Rhotak, Haryana",,"porcine kidney-15",,,,,,"porcine kidney-15",,,,,"2021-01-17T22:56:27.531Z","2021-01-17T22:56:27.531Z"
"10276.32","Swinepox virus VTCC/AVA/121",,10276,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10275;10276","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Suipoxvirus;Swinepox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Suipoxvirus","Swinepox virus","Partial","VTCC/AVA/121",,,,,,,,,,,,,,,,,,,,,"2015-09-27T00:00:00Z",,,,,,,"KR028368",,,"Sanger dideoxy sequencing",,,,,1,1113,29.919138,1,1113,,,,1,,,,,,"scab material",,"2013-09-21",2013,,"India","Asia","India: Rhotak, Haryana",,"porcine kidney-15",,,,,,"porcine kidney-15",,,,,"2021-01-17T22:56:27.984Z","2021-01-17T22:56:27.984Z"
"10276.34","Swinepox virus VTCC/AVA/121",,10276,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10275;10276","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Suipoxvirus;Swinepox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Suipoxvirus","Swinepox virus","Partial","VTCC/AVA/121",,,,,,,,,,,,,,,,,,,,,"2015-09-27T00:00:00Z",,,,,,,"KR028369",,,"Sanger dideoxy sequencing",,,,,1,540,27.777779,1,540,,,,1,,,,,,"scab material",,"2013-09-21",2013,,"India","Asia","India: Rhotak, Haryana",,"porcine kidney-15",,,,,,"porcine kidney-15",,,,,"2021-01-17T22:56:28.416Z","2021-01-17T22:56:28.416Z"
"10276.37","Swinepox virus SWPV/AVA/121",,10276,"10239;2732004;2732005;2732007;2732525;2732527;10240;10241;10275;10276","Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Chordopoxvirinae;Suipoxvirus;Swinepox virus","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Suipoxvirus","Swinepox virus","Partial","SWPV/AVA/121",,,,,,,,,,,,,,,,,,,,,"2015-09-27T00:00:00Z",,,,,,,"KR028370",,,"Sanger dideoxy sequencing",,,,,1,1590,25.72327,1,1590,,,,1,,,,,,"scab material",,"2013-09-21",2013,,"India","Asia","India: Rhotak, Haryana",,"porcine kidney-15",,,,,,"porcine kidney-15",,,,,"2021-01-17T22:56:28.931Z","2021-01-17T22:56:28.931Z"
"10298.9246","Human alphaherpesvirus 1",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial",,,,,,,,,,,,,,,,,,,,,,"2018-07-27T00:00:00Z","7646352",,,,,,"S79186",,,,,,,,1,400,63.25,1,400,,,,1,,,,,,,,,,,,,,,"Burkitt lymphoma cell line Raji","Lab host",,,,"Lab","Burkitt lymphoma cell line Raji",,,,,"2021-01-10T19:43:02.236Z","2021-01-10T19:43:02.236Z"
"10298.9619","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274284",,,"Sanger dideoxy sequencing",,,,,1,1128,65.07092,1,1128,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:58.405Z","2022-11-25T19:00:58.405Z"
"10298.9620","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274285",,,"Sanger dideoxy sequencing",,,,,1,1128,65.07092,1,1128,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:58.301Z","2022-11-25T19:00:58.301Z"
"10298.9621","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274286",,,"Sanger dideoxy sequencing",,,,,1,1128,65.07092,1,1128,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:58.901Z","2022-11-25T19:00:58.901Z"
"10298.9622","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274287",,,"Sanger dideoxy sequencing",,,,,1,1128,65.07092,1,1128,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:58.680Z","2022-11-25T19:00:58.680Z"
"10298.9623","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274288",,,"Sanger dideoxy sequencing",,,,,1,1128,65.07092,1,1128,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:59.229Z","2022-11-25T19:00:59.229Z"
"10298.9624","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274289",,,"Sanger dideoxy sequencing",,,,,1,1128,65.07092,1,1128,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:59.123Z","2022-11-25T19:00:59.123Z"
"10298.9625","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274291",,,"Sanger dideoxy sequencing",,,,,1,1122,65.15151,1,1122,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:59.071Z","2022-11-25T19:00:59.071Z"
"10298.9626","Human alphaherpesvirus 1 KOS",,10298,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10294;10298","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Simplexvirus;Human alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus","Human alphaherpesvirus 1","Partial","KOS",,,,,,,,,,,,,,,,,,,,,"2022-11-02T00:00:00Z",,,,,,,"OK274290",,,"Sanger dideoxy sequencing",,,,,1,1011,65.084076,1,1011,,,,1,,,,,,,,,,,,,,,"Vero cell line",,,,,,,,,,,"2022-11-25T19:00:59.616Z","2022-11-25T19:00:59.616Z"
"10335.15","Human alphaherpesvirus 3 Scott",,10335,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10319;10335","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Human alphaherpesvirus 3","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Human alphaherpesvirus 3","Partial","Scott",,,,,,,,,,,,,,,,,,,,,"2002-10-16T00:00:00Z","3016329",,,,,,"M13795",,,,,,,,1,2838,42.741367,1,2838,,,,1,,,,,,,,,,,,,,,"human foreskin fibroblast","Human",,,,"Human",,,,,,"2021-01-10T03:56:17.862Z","2021-01-10T03:56:17.862Z"
"10345.1286","Suid alphaherpesvirus 1 Vaccine Strain of Bartha",,10345,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10319;10345","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Suid alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Suid alphaherpesvirus 1","Partial","Vaccine Strain of Bartha",,,,,,,,,,,,,,,,,,,,,"2017-12-03T00:00:00Z",,,,,,,"KY398733",,,"Sanger dideoxy sequencing",,,,,1,3703,72.85984,1,3703,,,,2,,,,,,,,"2011-02",2011,,"China","Asia","China",,"CEF",,,,,,,,,,,"2021-01-10T15:57:32.224Z","2021-01-10T15:57:32.224Z"
"10345.1293","Suid alphaherpesvirus 1 Vaccine Strain Bartha-61",,10345,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;10319;10345","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Varicellovirus;Suid alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus","Suid alphaherpesvirus 1","Partial","Vaccine Strain Bartha-61",,,,,,,,,,,,,,,,,,,,,"2017-12-03T00:00:00Z",,,,,,,"KY398740",,,"Sanger dideoxy sequencing",,,,,1,1443,75.32918,1,1443,,,,1,,,,,,,,"2011",2011,,"China","Asia","China",,"CEF",,,,,,,,,,,"2021-01-10T15:57:35.150Z","2021-01-10T15:57:35.150Z"
"10359.3495","Human betaherpesvirus 5 Towne",,10359,"10239;2731341;2731360;2731361;2731363;548681;10292;10357;10358;10359","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;Human betaherpesvirus 5","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Human betaherpesvirus 5","Partial","Towne",,,,,,,,,,,,,,,,,,,,,"2016-08-01T00:00:00Z","2542583",,,,,,"AH002793",,,,,,,,1,1886,56.32699,1,1886,,,,,,,,,,,,,,,,,,,"foreskin fibroblast",,,,,,,,,,,"2021-01-10T09:09:33.937Z","2021-01-10T09:09:33.937Z"
"10364.4","Simian cytomegalovirus Colburn",,10364,"10239;2731341;2731360;2731361;2731363;548681;10292;10357;10358;50292;10364","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Betaherpesvirinae;Cytomegalovirus;Cercopithecine betaherpesvirus 5;Simian cytomegalovirus","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus","Cercopithecine betaherpesvirus 5","Partial","Colburn",,,,,,,,,,,,,,,,,,,,,"1996-01-26T00:00:00Z","2536099",,,,,,"M24205",,,,,,,,1,1035,63.38164,1,1035,,,,,,,,,,,,,,,,,,,"human foreskin fibroblast","Human",,,,"Human",,,,,,"2021-01-10T04:04:53.551Z","2021-01-10T04:04:53.551Z"
"10390.468","Gallid alphaherpesvirus 2 BAC20",,10390,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;180252;10390","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Gallid alphaherpesvirus 2","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Mardivirus","Gallid alphaherpesvirus 2","Partial","BAC20",,,,,,,,,,,,,,,,,,,,,"2015-08-14T00:00:00Z",,,,,,,"AF551845",,,,,,,,1,696,45.977013,1,696,,,,1,,,,,,,,,,,,,,,"chick embryo fibroblast; CEF",,,,,,,,,,,"2021-01-10T09:07:27.737Z","2021-01-10T09:07:27.737Z"
"10390.470","Gallid alphaherpesvirus 2 584Ap80C; BAC20",,10390,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;180252;10390","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Gallid alphaherpesvirus 2","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Mardivirus","Gallid alphaherpesvirus 2","Partial","584Ap80C; BAC20",,,,,,,,,,,,,,,,,,,,,"2013-02-01T00:00:00Z","12876454",,,,,,"AF551847",,,,,,,,1,885,48.474575,1,885,,,,1,,,,,,,,,,,,,,,"chick embryo fibroblast; CEF",,,,,,,,,,,"2021-01-10T09:07:28.439Z","2021-01-10T09:07:28.439Z"
"104388.61","Anatid alphaherpesvirus 1 C-KCE",,104388,"10239;2731341;2731360;2731361;2731363;548681;10292;10293;180252;104388","Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Alphaherpesvirinae;Mardivirus;Anatid alphaherpesvirus 1","Viruses","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Mardivirus","Anatid alphaherpesvirus 1","Partial","C-KCE",,,,,,,,,,,,,,,,,,,,,"2016-07-23T00:00:00Z","18690531",,,,,,"EF645136",,,,,,,,1,2328,41.108246,1,2328,,,,2,,,,,,,,,,,"China","Asia","China",,"CEF",,,,,,"CEF",,,,,"2021-01-10T06:38:03.477Z","2021-01-10T06:38:03.477Z"
